incident_source_id,incident_id,source_name,source_url,report_url,source_valid,source_http,source_error,report_valid,report_http,report_error,current_is_active,recommended_action
2,2097,NTSB,https://carol.ntsb.gov/investigations/detail/36176,,True,200,,False,,url_is_none,True,keep
3,2098,NTSB,https://carol.ntsb.gov/investigations/detail/14104,,True,200,,False,,url_is_none,True,keep
4,2099,NTSB,https://carol.ntsb.gov/investigations/detail/7784,,True,200,,False,,url_is_none,True,keep
5,2100,NTSB,https://carol.ntsb.gov/investigations/detail/13914,,True,200,,False,,url_is_none,True,keep
6,2101,NTSB,https://carol.ntsb.gov/investigations/detail/36175,,True,200,,False,,url_is_none,True,keep
7,2102,NTSB,https://carol.ntsb.gov/investigations/detail/26052,,True,200,,False,,url_is_none,True,keep
8,2103,NTSB,https://carol.ntsb.gov/investigations/detail/7783,,True,200,,False,,url_is_none,True,keep
9,2104,NTSB,https://carol.ntsb.gov/investigations/detail/17330,,True,200,,False,,url_is_none,True,keep
10,2105,NTSB,https://carol.ntsb.gov/investigations/detail/25770,,True,200,,False,,url_is_none,True,keep
11,2106,NTSB,https://carol.ntsb.gov/investigations/detail/17491,,True,200,,False,,url_is_none,True,keep
12,2107,NTSB,https://carol.ntsb.gov/investigations/detail/7613,,True,200,,False,,url_is_none,True,keep
13,2108,NTSB,https://carol.ntsb.gov/investigations/detail/26050,,True,200,,False,,url_is_none,True,keep
14,2109,NTSB,https://carol.ntsb.gov/investigations/detail/5022,,True,200,,False,,url_is_none,True,keep
15,2110,NTSB,https://carol.ntsb.gov/investigations/detail/32202,,True,200,,False,,url_is_none,True,keep
16,2111,NTSB,https://carol.ntsb.gov/investigations/detail/26049,,True,200,,False,,url_is_none,True,keep
17,2112,NTSB,https://carol.ntsb.gov/investigations/detail/14101,,True,200,,False,,url_is_none,True,keep
18,2113,NTSB,https://carol.ntsb.gov/investigations/detail/32201,,True,200,,False,,url_is_none,True,keep
19,2114,NTSB,https://carol.ntsb.gov/investigations/detail/7782,,True,200,,False,,url_is_none,True,keep
20,2115,NTSB,https://carol.ntsb.gov/investigations/detail/11423,,True,200,,False,,url_is_none,True,keep
21,2116,NTSB,https://carol.ntsb.gov/investigations/detail/25841,,True,200,,False,,url_is_none,True,keep
22,2117,NTSB,https://carol.ntsb.gov/investigations/detail/17490,,True,200,,False,,url_is_none,True,keep
23,2118,NTSB,https://carol.ntsb.gov/investigations/detail/40744,,True,200,,False,,url_is_none,True,keep
24,2119,NTSB,https://carol.ntsb.gov/investigations/detail/34595,,True,200,,False,,url_is_none,True,keep
25,2120,NTSB,https://carol.ntsb.gov/investigations/detail/35979,,True,200,,False,,url_is_none,True,keep
26,2121,NTSB,https://carol.ntsb.gov/investigations/detail/25840,,True,200,,False,,url_is_none,True,keep
27,2122,NTSB,https://carol.ntsb.gov/investigations/detail/13948,,True,200,,False,,url_is_none,True,keep
28,2123,NTSB,https://carol.ntsb.gov/investigations/detail/5025,,True,200,,False,,url_is_none,True,keep
29,2124,NTSB,https://carol.ntsb.gov/investigations/detail/22495,,True,200,,False,,url_is_none,True,keep
30,2125,NTSB,https://carol.ntsb.gov/investigations/detail/40726,,True,200,,False,,url_is_none,True,keep
31,2126,NTSB,https://carol.ntsb.gov/investigations/detail/5020,,True,200,,False,,url_is_none,True,keep
32,2127,NTSB,https://carol.ntsb.gov/investigations/detail/26047,,True,200,,False,,url_is_none,True,keep
33,2128,NTSB,https://carol.ntsb.gov/investigations/detail/7780,,True,200,,False,,url_is_none,True,keep
34,2129,NTSB,https://carol.ntsb.gov/investigations/detail/7781,,True,200,,False,,url_is_none,True,keep
35,2130,NTSB,https://carol.ntsb.gov/investigations/detail/26048,,True,200,,False,,url_is_none,True,keep
36,2131,NTSB,https://carol.ntsb.gov/investigations/detail/11345,,True,200,,False,,url_is_none,True,keep
37,2132,NTSB,https://carol.ntsb.gov/investigations/detail/22457,,True,200,,False,,url_is_none,True,keep
38,2133,NTSB,https://carol.ntsb.gov/investigations/detail/5019,,True,200,,False,,url_is_none,True,keep
39,2134,NTSB,https://carol.ntsb.gov/investigations/detail/5018,,True,200,,False,,url_is_none,True,keep
40,2135,NTSB,https://carol.ntsb.gov/investigations/detail/22657,,True,200,,False,,url_is_none,True,keep
41,2136,NTSB,https://carol.ntsb.gov/investigations/detail/17489,,True,200,,False,,url_is_none,True,keep
42,2137,NTSB,https://carol.ntsb.gov/investigations/detail/13947,,True,200,,False,,url_is_none,True,keep
43,2138,NTSB,https://carol.ntsb.gov/investigations/detail/25778,,True,200,,False,,url_is_none,True,keep
44,2139,NTSB,https://carol.ntsb.gov/investigations/detail/7779,,True,200,,False,,url_is_none,True,keep
45,2140,NTSB,https://carol.ntsb.gov/investigations/detail/5017,,True,200,,False,,url_is_none,True,keep
46,2141,NTSB,https://carol.ntsb.gov/investigations/detail/34594,,True,200,,False,,url_is_none,True,keep
47,2142,NTSB,https://carol.ntsb.gov/investigations/detail/40838,,True,200,,False,,url_is_none,True,keep
48,2143,NTSB,https://carol.ntsb.gov/investigations/detail/5016,,True,200,,False,,url_is_none,True,keep
49,2144,NTSB,https://carol.ntsb.gov/investigations/detail/32200,,True,200,,False,,url_is_none,True,keep
50,2145,NTSB,https://carol.ntsb.gov/investigations/detail/7639,,True,200,,False,,url_is_none,True,keep
51,2146,NTSB,https://carol.ntsb.gov/investigations/detail/22494,,True,200,,False,,url_is_none,True,keep
52,2147,NTSB,https://carol.ntsb.gov/investigations/detail/32258,,True,200,,False,,url_is_none,True,keep
53,2148,NTSB,https://carol.ntsb.gov/investigations/detail/17488,,True,200,,False,,url_is_none,True,keep
54,2149,NTSB,https://carol.ntsb.gov/investigations/detail/17379,,True,200,,False,,url_is_none,True,keep
55,2150,NTSB,https://carol.ntsb.gov/investigations/detail/26046,,True,200,,False,,url_is_none,True,keep
56,2151,NTSB,https://carol.ntsb.gov/investigations/detail/5021,,True,200,,False,,url_is_none,True,keep
57,2152,NTSB,https://carol.ntsb.gov/investigations/detail/30752,,True,200,,False,,url_is_none,True,keep
58,2153,NTSB,https://carol.ntsb.gov/investigations/detail/11370,,True,200,,False,,url_is_none,True,keep
59,2154,NTSB,https://carol.ntsb.gov/investigations/detail/17378,,True,200,,False,,url_is_none,True,keep
60,2155,NTSB,https://carol.ntsb.gov/investigations/detail/11422,,True,200,,False,,url_is_none,True,keep
61,2156,NTSB,https://carol.ntsb.gov/investigations/detail/40837,,True,200,,False,,url_is_none,True,keep
62,2157,NTSB,https://carol.ntsb.gov/investigations/detail/7778,,True,200,,False,,url_is_none,True,keep
63,2158,NTSB,https://carol.ntsb.gov/investigations/detail/22556,,True,200,,False,,url_is_none,True,keep
64,2159,NTSB,https://carol.ntsb.gov/investigations/detail/26045,,True,200,,False,,url_is_none,True,keep
65,2160,NTSB,https://carol.ntsb.gov/investigations/detail/17487,,True,200,,False,,url_is_none,True,keep
66,2161,NTSB,https://carol.ntsb.gov/investigations/detail/5014,,True,200,,False,,url_is_none,True,keep
67,2162,NTSB,https://carol.ntsb.gov/investigations/detail/26044,,True,200,,False,,url_is_none,True,keep
68,2163,NTSB,https://carol.ntsb.gov/investigations/detail/32026,,True,200,,False,,url_is_none,True,keep
69,2164,NTSB,https://carol.ntsb.gov/investigations/detail/26043,,True,200,,False,,url_is_none,True,keep
70,2165,NTSB,https://carol.ntsb.gov/investigations/detail/11421,,True,200,,False,,url_is_none,True,keep
71,2166,NTSB,https://carol.ntsb.gov/investigations/detail/17486,,True,200,,False,,url_is_none,True,keep
72,2167,NTSB,https://carol.ntsb.gov/investigations/detail/7787,,True,200,,False,,url_is_none,True,keep
73,2168,NTSB,https://carol.ntsb.gov/investigations/detail/5015,,True,200,,False,,url_is_none,True,keep
74,2169,NTSB,https://carol.ntsb.gov/investigations/detail/36172,,True,200,,False,,url_is_none,True,keep
75,2170,NTSB,https://carol.ntsb.gov/investigations/detail/22656,,True,200,,False,,url_is_none,True,keep
76,2171,NTSB,https://carol.ntsb.gov/investigations/detail/13946,,True,200,,False,,url_is_none,True,keep
77,2172,NTSB,https://carol.ntsb.gov/investigations/detail/14100,,True,200,,False,,url_is_none,True,keep
78,2173,NTSB,https://carol.ntsb.gov/investigations/detail/17485,,True,200,,False,,url_is_none,True,keep
79,2174,NTSB,https://carol.ntsb.gov/investigations/detail/40836,,True,200,,False,,url_is_none,True,keep
80,2175,NTSB,https://carol.ntsb.gov/investigations/detail/32199,,True,200,,False,,url_is_none,True,keep
81,2176,NTSB,https://carol.ntsb.gov/investigations/detail/22655,,True,200,,False,,url_is_none,True,keep
82,2177,NTSB,https://carol.ntsb.gov/investigations/detail/40835,,True,200,,False,,url_is_none,True,keep
83,2178,NTSB,https://carol.ntsb.gov/investigations/detail/34592,,True,200,,False,,url_is_none,True,keep
84,2179,NTSB,https://carol.ntsb.gov/investigations/detail/26042,,True,200,,False,,url_is_none,True,keep
85,2180,NTSB,https://carol.ntsb.gov/investigations/detail/14098,,True,200,,False,,url_is_none,True,keep
86,2181,NTSB,https://carol.ntsb.gov/investigations/detail/11420,,True,200,,False,,url_is_none,True,keep
87,2182,NTSB,https://carol.ntsb.gov/investigations/detail/26117,,True,200,,False,,url_is_none,True,keep
88,2183,NTSB,https://carol.ntsb.gov/investigations/detail/5011,,True,200,,False,,url_is_none,True,keep
89,2184,NTSB,https://carol.ntsb.gov/investigations/detail/25839,,True,200,,False,,url_is_none,True,keep
90,2185,NTSB,https://carol.ntsb.gov/investigations/detail/25768,,True,200,,False,,url_is_none,True,keep
91,2186,NTSB,https://carol.ntsb.gov/investigations/detail/13913,,True,200,,False,,url_is_none,True,keep
92,2187,NTSB,https://carol.ntsb.gov/investigations/detail/26041,,True,200,,False,,url_is_none,True,keep
93,2188,NTSB,https://carol.ntsb.gov/investigations/detail/22654,,True,200,,False,,url_is_none,True,keep
94,2189,NTSB,https://carol.ntsb.gov/investigations/detail/7611,,True,200,,False,,url_is_none,True,keep
95,2190,NTSB,https://carol.ntsb.gov/investigations/detail/32196,,True,200,,False,,url_is_none,True,keep
96,2191,NTSB,https://carol.ntsb.gov/investigations/detail/7612,,True,200,,False,,url_is_none,True,keep
97,2192,NTSB,https://carol.ntsb.gov/investigations/detail/26040,,True,200,,False,,url_is_none,True,keep
98,2193,NTSB,https://carol.ntsb.gov/investigations/detail/13996,,True,200,,False,,url_is_none,True,keep
99,2194,NTSB,https://carol.ntsb.gov/investigations/detail/34593,,True,200,,False,,url_is_none,True,keep
100,2195,NTSB,https://carol.ntsb.gov/investigations/detail/14097,,True,200,,False,,url_is_none,True,keep
101,2196,NTSB,https://carol.ntsb.gov/investigations/detail/17484,,True,200,,False,,url_is_none,True,keep
102,2197,NTSB,https://carol.ntsb.gov/investigations/detail/5013,,True,200,,False,,url_is_none,True,keep
103,2198,NTSB,https://carol.ntsb.gov/investigations/detail/14096,,True,200,,False,,url_is_none,True,keep
104,2199,NTSB,https://carol.ntsb.gov/investigations/detail/7610,,True,200,,False,,url_is_none,True,keep
105,2200,NTSB,https://carol.ntsb.gov/investigations/detail/7777,,True,200,,False,,url_is_none,True,keep
106,2201,NTSB,https://carol.ntsb.gov/investigations/detail/34591,,True,200,,False,,url_is_none,True,keep
107,2202,NTSB,https://carol.ntsb.gov/investigations/detail/5012,,True,200,,False,,url_is_none,True,keep
108,2203,NTSB,https://carol.ntsb.gov/investigations/detail/17483,,True,200,,False,,url_is_none,True,keep
109,2204,NTSB,https://carol.ntsb.gov/investigations/detail/22666,,True,200,,False,,url_is_none,True,keep
110,2205,NTSB,https://carol.ntsb.gov/investigations/detail/25746,,True,200,,False,,url_is_none,True,keep
111,2206,NTSB,https://carol.ntsb.gov/investigations/detail/26017,,True,200,,False,,url_is_none,True,keep
112,2207,NTSB,https://carol.ntsb.gov/investigations/detail/40834,,True,200,,False,,url_is_none,True,keep
113,2208,NTSB,https://carol.ntsb.gov/investigations/detail/32025,,True,200,,False,,url_is_none,True,keep
114,2209,NTSB,https://carol.ntsb.gov/investigations/detail/25767,,True,200,,False,,url_is_none,True,keep
115,2210,NTSB,https://carol.ntsb.gov/investigations/detail/13895,,True,200,,False,,url_is_none,True,keep
116,2211,NTSB,https://carol.ntsb.gov/investigations/detail/7776,,True,200,,False,,url_is_none,True,keep
117,2212,NTSB,https://carol.ntsb.gov/investigations/detail/30750,,True,200,,False,,url_is_none,True,keep
118,2213,NTSB,https://carol.ntsb.gov/investigations/detail/14094,,True,200,,False,,url_is_none,True,keep
119,2214,NTSB,https://carol.ntsb.gov/investigations/detail/26039,,True,200,,False,,url_is_none,True,keep
120,2215,NTSB,https://carol.ntsb.gov/investigations/detail/32195,,True,200,,False,,url_is_none,True,keep
121,2216,NTSB,https://carol.ntsb.gov/investigations/detail/26038,,True,200,,False,,url_is_none,True,keep
122,2217,NTSB,https://carol.ntsb.gov/investigations/detail/17482,,True,200,,False,,url_is_none,True,keep
123,2218,NTSB,https://carol.ntsb.gov/investigations/detail/32194,,True,200,,False,,url_is_none,True,keep
124,2219,NTSB,https://carol.ntsb.gov/investigations/detail/34590,,True,200,,False,,url_is_none,True,keep
125,2220,NTSB,https://carol.ntsb.gov/investigations/detail/14093,,True,200,,False,,url_is_none,True,keep
126,2221,NTSB,https://carol.ntsb.gov/investigations/detail/26036,,True,200,,False,,url_is_none,True,keep
127,2222,NTSB,https://carol.ntsb.gov/investigations/detail/36005,,True,200,,False,,url_is_none,True,keep
128,2223,NTSB,https://carol.ntsb.gov/investigations/detail/32024,,True,200,,False,,url_is_none,True,keep
129,2224,NTSB,https://carol.ntsb.gov/investigations/detail/11418,,True,200,,False,,url_is_none,True,keep
130,2225,NTSB,https://carol.ntsb.gov/investigations/detail/36171,,True,200,,False,,url_is_none,True,keep
131,2226,NTSB,https://carol.ntsb.gov/investigations/detail/36173,,True,200,,False,,url_is_none,True,keep
132,2227,NTSB,https://carol.ntsb.gov/investigations/detail/40725,,True,200,,False,,url_is_none,True,keep
133,2228,NTSB,https://carol.ntsb.gov/investigations/detail/17481,,True,200,,False,,url_is_none,True,keep
134,2229,NTSB,https://carol.ntsb.gov/investigations/detail/36170,,True,200,,False,,url_is_none,True,keep
135,2230,NTSB,https://carol.ntsb.gov/investigations/detail/34589,,True,200,,False,,url_is_none,True,keep
136,2231,NTSB,https://carol.ntsb.gov/investigations/detail/25747,,True,200,,False,,url_is_none,True,keep
137,2232,NTSB,https://carol.ntsb.gov/investigations/detail/32023,,True,200,,False,,url_is_none,True,keep
138,2233,NTSB,https://carol.ntsb.gov/investigations/detail/13846,,True,200,,False,,url_is_none,True,keep
139,2234,NTSB,https://carol.ntsb.gov/investigations/detail/36004,,True,200,,False,,url_is_none,True,keep
140,2235,NTSB,https://carol.ntsb.gov/investigations/detail/40833,,True,200,,False,,url_is_none,True,keep
141,2236,NTSB,https://carol.ntsb.gov/investigations/detail/22653,,True,200,,False,,url_is_none,True,keep
142,2237,NTSB,https://carol.ntsb.gov/investigations/detail/32257,,True,200,,False,,url_is_none,True,keep
143,2238,NTSB,https://carol.ntsb.gov/investigations/detail/22493,,True,200,,False,,url_is_none,True,keep
144,2239,NTSB,https://carol.ntsb.gov/investigations/detail/40832,,True,200,,False,,url_is_none,True,keep
145,2240,NTSB,https://carol.ntsb.gov/investigations/detail/26037,,True,200,,False,,url_is_none,True,keep
146,2241,NTSB,https://carol.ntsb.gov/investigations/detail/32066,,True,200,,False,,url_is_none,True,keep
147,2242,NTSB,https://carol.ntsb.gov/investigations/detail/11419,,True,200,,False,,url_is_none,True,keep
148,2243,NTSB,https://carol.ntsb.gov/investigations/detail/13888,,True,200,,False,,url_is_none,True,keep
149,2244,NTSB,https://carol.ntsb.gov/investigations/detail/5091,,True,200,,False,,url_is_none,True,keep
150,2245,NTSB,https://carol.ntsb.gov/investigations/detail/14095,,True,200,,False,,url_is_none,True,keep
151,2246,NTSB,https://carol.ntsb.gov/investigations/detail/7538,,True,200,,False,,url_is_none,True,keep
152,2247,NTSB,https://carol.ntsb.gov/investigations/detail/34588,,True,200,,False,,url_is_none,True,keep
153,2248,NTSB,https://carol.ntsb.gov/investigations/detail/32193,,True,200,,False,,url_is_none,True,keep
154,2249,NTSB,https://carol.ntsb.gov/investigations/detail/17480,,True,200,,False,,url_is_none,True,keep
155,2250,NTSB,https://carol.ntsb.gov/investigations/detail/26035,,True,200,,False,,url_is_none,True,keep
156,2251,NTSB,https://carol.ntsb.gov/investigations/detail/32022,,True,200,,False,,url_is_none,True,keep
157,2252,NTSB,https://carol.ntsb.gov/investigations/detail/36169,,True,200,,False,,url_is_none,True,keep
158,2253,NTSB,https://carol.ntsb.gov/investigations/detail/34587,,True,200,,False,,url_is_none,True,keep
159,2254,NTSB,https://carol.ntsb.gov/investigations/detail/40830,,True,200,,False,,url_is_none,True,keep
160,2255,NTSB,https://carol.ntsb.gov/investigations/detail/32021,,True,200,,False,,url_is_none,True,keep
161,2256,NTSB,https://carol.ntsb.gov/investigations/detail/17479,,True,200,,False,,url_is_none,True,keep
162,2257,NTSB,https://carol.ntsb.gov/investigations/detail/7775,,True,200,,False,,url_is_none,True,keep
163,2258,NTSB,https://carol.ntsb.gov/investigations/detail/17478,,True,200,,False,,url_is_none,True,keep
164,2259,NTSB,https://carol.ntsb.gov/investigations/detail/26034,,True,200,,False,,url_is_none,True,keep
165,2260,NTSB,https://carol.ntsb.gov/investigations/detail/32191,,True,200,,False,,url_is_none,True,keep
166,2261,NTSB,https://carol.ntsb.gov/investigations/detail/22664,,True,200,,False,,url_is_none,True,keep
167,2262,NTSB,https://carol.ntsb.gov/investigations/detail/17512,,True,200,,False,,url_is_none,True,keep
168,2263,NTSB,https://carol.ntsb.gov/investigations/detail/22651,,True,200,,False,,url_is_none,True,keep
169,2264,NTSB,https://carol.ntsb.gov/investigations/detail/40743,,True,200,,False,,url_is_none,True,keep
170,2265,NTSB,https://carol.ntsb.gov/investigations/detail/32192,,True,200,,False,,url_is_none,True,keep
171,2266,NTSB,https://carol.ntsb.gov/investigations/detail/22652,,True,200,,False,,url_is_none,True,keep
172,2267,NTSB,https://carol.ntsb.gov/investigations/detail/7774,,True,200,,False,,url_is_none,True,keep
173,2268,NTSB,https://carol.ntsb.gov/investigations/detail/40831,,True,200,,False,,url_is_none,True,keep
174,2269,NTSB,https://carol.ntsb.gov/investigations/detail/25761,,True,200,,False,,url_is_none,True,keep
175,2270,NTSB,https://carol.ntsb.gov/investigations/detail/26033,,True,200,,False,,url_is_none,True,keep
176,2271,NTSB,https://carol.ntsb.gov/investigations/detail/26032,,True,200,,False,,url_is_none,True,keep
177,2272,NTSB,https://carol.ntsb.gov/investigations/detail/36168,,True,200,,False,,url_is_none,True,keep
178,2273,NTSB,https://carol.ntsb.gov/investigations/detail/11369,,True,200,,False,,url_is_none,True,keep
179,2274,NTSB,https://carol.ntsb.gov/investigations/detail/36167,,True,200,,False,,url_is_none,True,keep
180,2275,NTSB,https://carol.ntsb.gov/investigations/detail/17334,,True,200,,False,,url_is_none,True,keep
181,2276,NTSB,https://carol.ntsb.gov/investigations/detail/2292,,True,200,,False,,url_is_none,True,keep
182,2277,NTSB,https://carol.ntsb.gov/investigations/detail/36186,,True,200,,False,,url_is_none,True,keep
183,2278,NTSB,https://carol.ntsb.gov/investigations/detail/7773,,True,200,,False,,url_is_none,True,keep
184,2279,NTSB,https://carol.ntsb.gov/investigations/detail/17376,,True,200,,False,,url_is_none,True,keep
185,2280,NTSB,https://carol.ntsb.gov/investigations/detail/25718,,True,200,,False,,url_is_none,True,keep
186,2281,NTSB,https://carol.ntsb.gov/investigations/detail/4958,,True,200,,False,,url_is_none,True,keep
187,2282,NTSB,https://carol.ntsb.gov/investigations/detail/13868,,True,200,,False,,url_is_none,True,keep
188,2283,NTSB,https://carol.ntsb.gov/investigations/detail/26031,,True,200,,False,,url_is_none,True,keep
189,2284,NTSB,https://carol.ntsb.gov/investigations/detail/22555,,True,200,,False,,url_is_none,True,keep
190,2285,NTSB,https://carol.ntsb.gov/investigations/detail/22456,,True,200,,False,,url_is_none,True,keep
191,2286,NTSB,https://carol.ntsb.gov/investigations/detail/32190,,True,200,,False,,url_is_none,True,keep
192,2287,NTSB,https://carol.ntsb.gov/investigations/detail/14091,,True,200,,False,,url_is_none,True,keep
193,2288,NTSB,https://carol.ntsb.gov/investigations/detail/7609,,True,200,,False,,url_is_none,True,keep
194,2289,NTSB,https://carol.ntsb.gov/investigations/detail/22650,,True,200,,False,,url_is_none,True,keep
195,2290,NTSB,https://carol.ntsb.gov/investigations/detail/14089,,True,200,,False,,url_is_none,True,keep
196,2291,NTSB,https://carol.ntsb.gov/investigations/detail/25745,,True,200,,False,,url_is_none,True,keep
197,2292,NTSB,https://carol.ntsb.gov/investigations/detail/22649,,True,200,,False,,url_is_none,True,keep
198,2293,NTSB,https://carol.ntsb.gov/investigations/detail/26029,,True,200,,False,,url_is_none,True,keep
199,2294,NTSB,https://carol.ntsb.gov/investigations/detail/14090,,True,200,,False,,url_is_none,True,keep
200,2295,NTSB,https://carol.ntsb.gov/investigations/detail/40829,,True,200,,False,,url_is_none,True,keep
201,2296,NTSB,https://carol.ntsb.gov/investigations/detail/22648,,True,200,,False,,url_is_none,True,keep
202,2297,NTSB,https://carol.ntsb.gov/investigations/detail/26028,,True,200,,False,,url_is_none,True,keep
203,2298,NTSB,https://carol.ntsb.gov/investigations/detail/7771,,True,200,,False,,url_is_none,True,keep
204,2299,NTSB,https://carol.ntsb.gov/investigations/detail/7549,,True,200,,False,,url_is_none,True,keep
205,2300,NTSB,https://carol.ntsb.gov/investigations/detail/22491,,True,200,,False,,url_is_none,True,keep
206,2301,NTSB,https://carol.ntsb.gov/investigations/detail/26020,,True,200,,False,,url_is_none,True,keep
207,2302,NTSB,https://carol.ntsb.gov/investigations/detail/36003,,True,200,,False,,url_is_none,True,keep
208,2303,NTSB,https://carol.ntsb.gov/investigations/detail/26027,,True,200,,False,,url_is_none,True,keep
209,2304,NTSB,https://carol.ntsb.gov/investigations/detail/11383,,True,200,,False,,url_is_none,True,keep
210,2305,NTSB,https://carol.ntsb.gov/investigations/detail/17329,,True,200,,False,,url_is_none,True,keep
211,2306,NTSB,https://carol.ntsb.gov/investigations/detail/34584,,True,200,,False,,url_is_none,True,keep
